id,n_vulns,vulns,total_cvss,max_cvss,site,Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
451,0,set(),0,0,BFEM.GOV,BFEM.GOV,Federal Agency - Executive,Department of the Treasury,Department of the Treasury - OCIO,Washington,DC,(blank)
452,19,"{'CVE-2018-19518', 'CVE-2019-9021', 'CVE-2019-9639', 'CVE-2018-14851', 'CVE-2019-9023', 'CVE-2019-9638', 'CVE-2019-9637', 'CVE-2018-19395', 'CVE-2018-19520', 'CVE-2019-9020', 'CVE-2019-9641', 'CVE-2019-6977', 'CVE-2018-19935', 'CVE-2018-14883', 'CVE-2018-17082', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-19396', 'CVE-2019-9024'}",115.4,8.5,BHTX.GOV,BHTX.GOV,City,Non-Federal Agency,City of Balcones Heights,Balcones Heights,TX,(blank)
453,0,set(),0,0,BIA.GOV,BIA.GOV,Federal Agency - Executive,Department of the Interior,Bureau of Indian Affairs,Reston,VA,(blank)
454,0,set(),0,0,BIGFLATSNY.GOV,BIGFLATSNY.GOV,City,Non-Federal Agency,Town of Big Flats,Big Flats,NY,(blank)
455,6,"{'CVE-2008-0074', 'CVE-2008-1446', 'CVE-2009-2521', 'CVE-2010-1899', 'CVE-2009-3555', 'CVE-2010-1256'}",37.4,9,BIGGS-CA.GOV,BIGGS-CA.GOV,City,Non-Federal Agency,"Biggs, California",Biggs,CA,(blank)
456,6,"{'CVE-2017-3167', 'CVE-2016-4975', 'CVE-2017-3169', 'CVE-2017-7679', 'CVE-2016-8612', 'CVE-2017-7668'}",37.6,7.5,BIGHORNCOUNTYMT.GOV,BIGHORNCOUNTYMT.GOV,County,Non-Federal Agency,Big Horn County,Hardin,MT,(blank)
457,0,set(),0,0,BIGHORNCOUNTYWY.GOV,BIGHORNCOUNTYWY.GOV,County,Non-Federal Agency,Big Horn County ,Basin,WY,(blank)
458,0,set(),0,0,BIGSANDYTX.GOV,BIGSANDYTX.GOV,City,Non-Federal Agency,City of Big Sandy,Big Sandy,TX,(blank)
459,0,set(),0,0,BILLINGSCOUNTYND.GOV,BILLINGSCOUNTYND.GOV,County,Non-Federal Agency,Billings County Courthouse,Medora,ND,(blank)
460,0,set(),0,0,BINGHAMTON-NY.GOV,BINGHAMTON-NY.GOV,City,Non-Federal Agency,City of Binghamton,Binghamton,NY,(blank)
461,0,set(),0,0,BIOMASSBOARD.GOV,BIOMASSBOARD.GOV,Federal Agency - Executive,Department of Energy,EERE,Washington,DC,(blank)
462,0,set(),0,0,BIOMETRICCOE.GOV,BIOMETRICCOE.GOV,Federal Agency - Executive,Department of Justice,FBI CJIS,Clarksburg,WV,(blank)
463,0,set(),0,0,BIOMETRICS.GOV,BIOMETRICS.GOV,Federal Agency - Executive,Department of Homeland Security,US-VISIT,Arlington,VA,IS2OSecurity@hq.dhs.gov
464,0,set(),0,0,BIRMINGHAMAL.GOV,BIRMINGHAMAL.GOV,City,Non-Federal Agency,City of Birmingham,Birmingham,AL,adminnotify@birminghamal.gov
465,0,set(),0,0,BISBEEAZ.GOV,BISBEEAZ.GOV,City,Non-Federal Agency,City of Bisbee,Bisbee,AZ,(blank)
466,0,set(),0,0,BISCAYNEPARKFL.GOV,BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Village of Biscayne Park,Biscayne Park,FL,(blank)
467,0,set(),0,0,BISMARCKND.GOV,BISMARCKND.GOV,City,Non-Federal Agency,City of BIsmarck,Bismarck,ND,(blank)
468,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BIXBYOK.GOV,BIXBYOK.GOV,City,Non-Federal Agency,City of Bixby,Bixby,OK,(blank)
469,0,set(),0,0,BLACKDIAMONDWA.GOV,BLACKDIAMONDWA.GOV,City,Non-Federal Agency,City of Black Diamond,Black Diamond,WA,(blank)
470,0,set(),0,0,BLACKSBURG.GOV,BLACKSBURG.GOV,City,Non-Federal Agency,Town of Blacksburg,Blacksburg,VA,(blank)
471,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,BLADENSBURGMD.GOV,BLADENSBURGMD.GOV,City,Non-Federal Agency,Town of Bladensburg,Bladensburg,MD,(blank)
472,0,set(),0,0,BLAINECOUNTY-MT.GOV,BLAINECOUNTY-MT.GOV,County,Non-Federal Agency,BLAINE COUNTY,CHINOOK,MT,(blank)
473,0,set(),0,0,BLAINEMN.GOV,BLAINEMN.GOV,City,Non-Federal Agency,City of Blaine,Blaine,MN,(blank)
474,0,set(),0,0,BLAIRSVILLE-GA.GOV,BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,City of Blairsville,Blairsville,GA,(blank)
475,0,set(),0,0,BLANDCOUNTYVA.GOV,BLANDCOUNTYVA.GOV,County,Non-Federal Agency,"Bland County, Virginia",Bland,VA,(blank)
476,0,set(),0,0,BLANDING-UT.GOV,BLANDING-UT.GOV,City,Non-Federal Agency,City of Blanding,Blanding,UT,(blank)
477,0,set(),0,0,BLENDONTOWNSHIP-MI.GOV,BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Blendon Township ,Hudsonville,MI,(blank)
478,0,set(),0,0,BLISSFIELDMICHIGAN.GOV,BLISSFIELDMICHIGAN.GOV,City,Non-Federal Agency,Village of Blissfield,Blissfield,MI,(blank)
479,0,set(),0,0,BLM.GOV,BLM.GOV,Federal Agency - Executive,Department of the Interior,Bureau of Land Management - Main Domain,Denver,CO,blm_it_security@blm.gov
480,0,set(),0,0,BLNC.GOV,BLNC.GOV,State/Local Govt,Non-Federal Agency,North Carolina Department of Commerce,Raleigh,NC,(blank)
481,0,set(),0,0,BLOOMFIELD-CT.GOV,BLOOMFIELD-CT.GOV,City,Non-Federal Agency,TOWN OF BLOOMFIELD CT,BLOOMFIELD,CT,(blank)
482,0,set(),0,0,BLOOMFIELDCT.GOV,BLOOMFIELDCT.GOV,City,Non-Federal Agency,"TOWN OF BLOOMFIELD, CT",BLOOMFIELD,CT,(blank)
483,0,set(),0,0,BLOOMFIELDNM.GOV,BLOOMFIELDNM.GOV,City,Non-Federal Agency,"City of Bloomfield, NM",Bloomfield,NM,(blank)
484,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,BLOOMINGDALE-GA.GOV,BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,City of Bloomingdale,Bloomingdale,GA,(blank)
485,0,set(),0,0,BLOOMINGGROVE-NY.GOV,BLOOMINGGROVE-NY.GOV,State/Local Govt,Non-Federal Agency,TOWN OF BLOOMING GROVE,BLOOMING GROVE,NY,(blank)
486,0,set(),0,0,BLOOMINGTONMN.GOV,BLOOMINGTONMN.GOV,City,Non-Federal Agency,City of Bloomington,Bloomington,MN,(blank)
487,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,BLOUNTCOUNTYAL.GOV,BLOUNTCOUNTYAL.GOV,County,Non-Federal Agency,Blount County Commission,Oneonta,AL,info@blountcountyal.gov
488,0,set(),0,0,BLS.GOV,BLS.GOV,Federal Agency - Executive,Department of Labor,Bureau of Labor Statistics,Washington,DC,(blank)
489,0,set(),0,0,BLUEEARTHCOUNTYMN.GOV,BLUEEARTHCOUNTYMN.GOV,County,Non-Federal Agency,Blue Earth County,Mankato,MN,(blank)
490,0,set(),0,0,BLUELAKERANCHERIA-NSN.GOV,BLUELAKERANCHERIA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Blue Lake Rancheria,Blue Lake,CA,(blank)
491,14,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2019-11034', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2019-11035', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478', 'CVE-2019-9024'}",69.9,7.5,BLUFFTONINDIANA.GOV,BLUFFTONINDIANA.GOV,City,Non-Federal Agency,Bluffton Police Department,Bluffton,IN,(blank)
492,0,set(),0,0,BNL.GOV,BNL.GOV,Federal Agency - Executive,Department of Energy,Brookhaven National Laboratory,Upton,NY,(blank)
493,17,"{'CVE-2019-9640', 'CVE-2018-19518', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2019-11034', 'CVE-2019-9637', 'CVE-2019-9020', 'CVE-2019-9022', 'CVE-2019-11035', 'CVE-2019-9641', 'CVE-2019-6977', 'CVE-2018-19935', 'CVE-2018-17082', 'CVE-2019-9023', 'CVE-2018-20783', 'CVE-2019-9639', 'CVE-2019-9024'}",109.9,8.5,BOATIDAHO.GOV,BOATIDAHO.GOV,State/Local Govt,Non-Federal Agency,State of Idaho,Boise,ID,(blank)
494,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BOCARATON-FL.GOV,BOCARATON-FL.GOV,City,Non-Federal Agency,City of Boca Raton,Boca Raton,FL,(blank)
495,0,set(),0,0,BOEM.GOV,BOEM.GOV,Federal Agency - Executive,Department of the Interior,Minerals Management Service,Herndon,VA,(blank)
496,0,set(),0,0,BOERNE-TX.GOV,BOERNE-TX.GOV,City,Non-Federal Agency,CITY OF BOERNE,BOERNE,TX,(blank)
497,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BOISEIDAHO.GOV,BOISEIDAHO.GOV,City,Non-Federal Agency,City of Boise,Boise,ID,(blank)
498,0,set(),0,0,BONDPRO.GOV,BONDPRO.GOV,Federal Agency - Executive,Department of the Treasury,Department of the Treasury - BPD,Washington,DC,(blank)
499,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,BONNERCOID.GOV,BONNERCOID.GOV,County,Non-Federal Agency,Bonner County,Sandpoint,ID,(blank)
500,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478', 'CVE-2011-5000'}",47.1,7.5,BONNERCOUNTYID.GOV,BONNERCOUNTYID.GOV,County,Non-Federal Agency,Bonner County,Sandpoint,ID,(blank)
501,29,"{'CVE-2014-0061', 'CVE-2014-0065', 'CVE-2017-7485', 'CVE-2015-3165', 'CVE-2017-7547', 'CVE-2018-1058', 'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2014-0066', 'CVE-2017-7546', 'CVE-2017-14798', 'CVE-2015-5289', 'CVE-2018-15473', 'CVE-2014-0062', 'CVE-2014-0060', 'CVE-2016-5423', 'CVE-2015-5288', 'CVE-2014-0067', 'CVE-2014-2669', 'CVE-2016-5424', 'CVE-2018-1115', 'CVE-2014-0063', 'CVE-2019-9193', 'CVE-2017-7484', 'CVE-2017-12172', 'CVE-2017-15098', 'CVE-2014-0064', 'CVE-2016-7048', 'CVE-2017-7486'}",169.8,9.3,BONNEVILLECOUNTYID.GOV,BONNEVILLECOUNTYID.GOV,County,Non-Federal Agency,Bonneville County Emergency Communications Center,Idaho Falls,ID,(blank)
502,3,"{'CVE-2019-9024', 'CVE-2019-11034', 'CVE-2019-11035'}",17.8,6.4,BONNEYTEXAS.GOV,BONNEYTEXAS.GOV,City,Non-Federal Agency,Village of Bonney,Bonney,TX,(blank)
503,0,set(),0,0,BOONECOUNTYFPDMO.GOV,BOONECOUNTYFPDMO.GOV,Independent Intrastate Agency,Non-Federal Agency,Boone County Fire Protection District,Columbia,MO,(blank)
504,0,set(),0,0,BORGERTX.GOV,BORGERTX.GOV,City,Non-Federal Agency,"City of Borger, Texas",Borger,TX,(blank)
505,3,"{'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2018-15473'}",15,5,BOSQUEFARMSNM.GOV,BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Village of Bosque Farms,Bosque Farms,NM,(blank)
506,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BOSSIERPARISHLA.GOV,BOSSIERPARISHLA.GOV,County,Non-Federal Agency,Bossier Parish Police Jury ,Benton ,LA,(blank)
507,0,set(),0,0,BOSTON.GOV,BOSTON.GOV,City,Non-Federal Agency,City of Boston,Boston,MA,(blank)
508,24,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",121.9,7.5,BOTETOURTVA.GOV,BOTETOURTVA.GOV,County,Non-Federal Agency,Botetourt County,Fincastle,VA,(blank)
509,0,set(),0,0,BOULDERCOLORADO.GOV,BOULDERCOLORADO.GOV,City,Non-Federal Agency,City of Boulder,Boulder,CO,edelenb@bouldercolorado.gov
510,6,"{'CVE-2008-0074', 'CVE-2008-1446', 'CVE-2009-2521', 'CVE-2010-1899', 'CVE-2009-3555', 'CVE-2010-1256'}",37.4,9,BOURBON-IN.GOV,BOURBON-IN.GOV,City,Non-Federal Agency,City of Bourbon,Bremen,IN,(blank)
511,26,"{'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2015-8994', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2014-9767', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",146.7,7.5,BOWERSDE.GOV,BOWERSDE.GOV,City,Non-Federal Agency,Town Of Bowers Beach,"Frederica,",DE,(blank)
512,0,set(),0,0,BOWLINGGREEN-MO.GOV,BOWLINGGREEN-MO.GOV,City,Non-Federal Agency,City of Bowling Green,Bowling Green,MO,(blank)
513,0,set(),0,0,BOWMANCOUNTYND.GOV,BOWMANCOUNTYND.GOV,County,Non-Federal Agency,State of ND,Bismarck,ND,(blank)
514,3,"{'CVE-2019-6338', 'CVE-2019-6339', 'CVE-2019-6341'}",17,7.5,BOWMAR.GOV,BOWMAR.GOV,City,Non-Federal Agency,Town of Bow Mar,Bow Mar,CO,(blank)
515,0,set(),0,0,BOWNH.GOV,BOWNH.GOV,City,Non-Federal Agency,"Town of Bow, NH",Bow,NH,(blank)
516,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478', 'CVE-2011-5000'}",52.1,7.5,BOXBOROUGH-MA.GOV,BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Town of Boxborough,Boxborough,MA,(blank)
517,0,set(),0,0,BOXFORDMA.GOV,BOXFORDMA.GOV,City,Non-Federal Agency,Town of Boxford,Boxford,MA,(blank)
518,36,"{'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2016-7125', 'CVE-2016-7126', 'CVE-2015-8994', 'CVE-2019-9641', 'CVE-2016-7568', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2016-7127', 'CVE-2018-10547', 'CVE-2016-7131', 'CVE-2019-9021', 'CVE-2016-7124', 'CVE-2019-9638', 'CVE-2016-7129', 'CVE-2018-20783', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2016-7130', 'CVE-2018-19935', 'CVE-2018-14883', 'CVE-2018-19395', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2016-7132', 'CVE-2018-19518', 'CVE-2018-10548', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2016-7128', 'CVE-2018-17082'}",213.4,8.5,BOYDCOUNTYKY.GOV,BOYDCOUNTYKY.GOV,County,Non-Federal Agency,Boyd County Fiscal Court,Catlettsburg,KY,Mike@boydcountyky.gov
519,0,set(),0,0,BOYLSTON-MA.GOV,BOYLSTON-MA.GOV,City,Non-Federal Agency,Town of Boylston,Boylston,MA,(blank)
520,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BPA.GOV,BPA.GOV,Federal Agency - Executive,Department of Energy,Bonneville Power Administration,Portland,OR,(blank)
521,0,set(),0,0,BRADFORDCOUNTYFL.GOV,BRADFORDCOUNTYFL.GOV,County,Non-Federal Agency,Bradford County Florida,Starke,FL,ian_waters@bradfordcountyfl.gov
522,0,set(),0,0,BRADLEYBEACHNJ.GOV,BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Borough of Bradley Beach,Bradley Beach,NJ,(blank)
523,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478', 'CVE-2011-5000'}",47.1,7.5,BRADLEYCOUNTYTN.GOV,BRADLEYCOUNTYTN.GOV,County,Non-Federal Agency,"Bradley County, Tennessee",Cleveland,TN,(blank)
524,0,set(),0,0,BRAINHEALTH.GOV,BRAINHEALTH.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institute on Aging, National Institutes of Health",Bethesda,MD,(blank)
525,0,set(),0,0,BRAINTREEMA.GOV,BRAINTREEMA.GOV,City,Non-Federal Agency,Town of Braintree MA,Braintree,MA,(blank)
526,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BRANFORD-CT.GOV,BRANFORD-CT.GOV,City,Non-Federal Agency,Town of Branford CT,Branford,CT,(blank)
527,0,set(),0,0,BRANSONMO.GOV,BRANSONMO.GOV,City,Non-Federal Agency,City of Branson,Branson,MO,(blank)
528,0,set(),0,0,BRAZORIACOUNTYTX.GOV,BRAZORIACOUNTYTX.GOV,County,Non-Federal Agency,Brazoria County,Angleton,TX,networking@brazoria-county.com
529,0,set(),0,0,BRAZOSCOUNTYTX.GOV,BRAZOSCOUNTYTX.GOV,County,Non-Federal Agency,"Brazos County, Texas",Bryan,TX,(blank)
530,7,"{'CVE-2018-6789', 'CVE-2013-2070', 'CVE-2017-9798', 'CVE-2012-5671', 'CVE-2014-2957', 'CVE-2014-2972', 'CVE-2016-8612'}",39.8,7.5,BRB-NSN.GOV,BRB-NSN.GOV,Native Sovereign Nation,Indian Affairs,BEAR RIVER BAND OF THE ROHNERVILLE RANCHERIA,LOLETA,CA,(blank)
531,6,"{'CVE-2018-15919', 'CVE-2019-6338', 'CVE-2017-15906', 'CVE-2019-6339', 'CVE-2018-15473', 'CVE-2019-6341'}",32,7.5,BRECKENRIDGETX.GOV,BRECKENRIDGETX.GOV,City,Non-Federal Agency,City of Breckenridge,Breckenridge,TX,(blank)
532,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,BREMENGA.GOV,BREMENGA.GOV,City,Non-Federal Agency,City of Bremen,Bremen,GA,(blank)
533,0,set(),0,0,BREMERTONWA.GOV,BREMERTONWA.GOV,City,Non-Federal Agency,City of Bremerton,Bremerton,WA,(blank)
534,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BRENTWOODCA.GOV,BRENTWOODCA.GOV,City,Non-Federal Agency,City of Brentwood,Brentwood,CA,(blank)
535,0,set(),0,0,BRENTWOODMD.GOV,BRENTWOODMD.GOV,City,Non-Federal Agency,Town of Brentwood,Brentwood,MD,(blank)
536,0,set(),0,0,BRENTWOODNH.GOV,BRENTWOODNH.GOV,City,Non-Federal Agency,Town of Brentwood,Brentwood,NH,(blank)
537,0,set(),0,0,BRENTWOODTN.GOV,BRENTWOODTN.GOV,City,Non-Federal Agency,City of Brentwood,Brentwood,TN,(blank)
538,0,set(),0,0,BREWERMAINE.GOV,BREWERMAINE.GOV,City,Non-Federal Agency,City of Brewer,Brewer,ME,(blank)
539,0,set(),0,0,BREWSTER-MA.GOV,BREWSTER-MA.GOV,City,Non-Federal Agency,Town of Brewster,Brewster,MA,(blank)
540,30,"{'CVE-2019-9637', 'CVE-2017-9798', 'CVE-2014-2972', 'CVE-2016-8612', 'CVE-2019-9641', 'CVE-2018-6789', 'CVE-2013-2070', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2014-2957', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2012-5671', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",170.4,7.5,BREWSTERVILLAGE-NY.GOV,BREWSTERVILLAGE-NY.GOV,City,Non-Federal Agency,Brewster of Village,Brewster,NY,(blank)
541,0,set(),0,0,BRICKTOWNSHIP-NJ.GOV,BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Township of Brick,Brick,NJ,(blank)
542,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BRIDGEPORTCT.GOV,BRIDGEPORTCT.GOV,City,Non-Federal Agency,City of Bridgeport,Bridgeport,CT,(blank)
543,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BRIDGEVIEW-IL.GOV,BRIDGEVIEW-IL.GOV,City,Non-Federal Agency,Village of Bridgeview,Bridgeview,IL,(blank)
544,0,set(),0,0,BRIDGEWATER-CT.GOV,BRIDGEWATER-CT.GOV,State/Local Govt,Non-Federal Agency,Town of Bridgewater CT,Bridgewater,CT,(blank)
545,0,set(),0,0,BRIDGEWATERNJ.GOV,BRIDGEWATERNJ.GOV,City,Non-Federal Agency,Bridgewater Township,Bridgewater,NJ,(blank)
546,0,set(),0,0,BRIGHTONCO.GOV,BRIGHTONCO.GOV,City,Non-Federal Agency,City of Brighton,Brighton,CO,(blank)
547,0,set(),0,0,BRIMFIELDOHIO.GOV,BRIMFIELDOHIO.GOV,City,Non-Federal Agency,Brimfield Township,Kent,OH,(blank)
548,0,set(),0,0,BRISTOLCT.GOV,BRISTOLCT.GOV,City,Non-Federal Agency,City of Bristol,Bristol,CT,scottsmith@bristolct.gov
549,0,set(),0,0,BRISTOLRI.GOV,BRISTOLRI.GOV,City,Non-Federal Agency,Town of Bristol,Bristol,RI,(blank)
550,0,set(),0,0,BRLA.GOV,BRLA.GOV,City,Non-Federal Agency,City of Baton Rouge / Parish of East Baton Rouge,Baton Rouge,LA,(blank)
551,0,set(),0,0,BROADBAND.GOV,BROADBAND.GOV,Federal Agency - Executive,Federal Communications Commission,Federal Communications Commission,Washington,DC,(blank)
552,0,set(),0,0,BROADBANDMAP.GOV,BROADBANDMAP.GOV,Federal Agency - Executive,Federal Communications Commission,Federal Communications Commission,Washington,DC,(blank)
553,0,set(),0,0,BROADVIEW-IL.GOV,BROADVIEW-IL.GOV,City,Non-Federal Agency,Village of Broadview,Broadview,IL,(blank)
554,0,set(),0,0,BROCKTON-MA.GOV,BROCKTON-MA.GOV,City,Non-Federal Agency,City of Brockton,Brockton,MA,(blank)
555,0,set(),0,0,BROKENARROWOK.GOV,BROKENARROWOK.GOV,City,Non-Federal Agency,City of Broken Arrow,Broken Arrow,OK,(blank)
556,0,set(),0,0,BROOKFIELDCT.GOV,BROOKFIELDCT.GOV,City,Non-Federal Agency,Town of Brookfield,Brookfield,CT,(blank)
557,20,"{'CVE-2017-3167', 'CVE-2016-4979', 'CVE-2017-15715', 'CVE-2017-15710', 'CVE-2018-1283', 'CVE-2016-1546', 'CVE-2019-0211', 'CVE-2017-9798', 'CVE-2018-1312', 'CVE-2016-8743', 'CVE-2018-1333', 'CVE-2018-17199', 'CVE-2016-4975', 'CVE-2017-3169', 'CVE-2018-11763', 'CVE-2017-7679', 'CVE-2016-8612', 'CVE-2017-9788', 'CVE-2016-8740', 'CVE-2017-7668'}",111.9,7.5,BROOKFIELDIL.GOV,BROOKFIELDIL.GOV,City,Non-Federal Agency,Village Of Brookfield,Brookfield ,IL,(blank)
558,0,set(),0,0,BROOKHAVEN-MS.GOV,BROOKHAVEN-MS.GOV,City,Non-Federal Agency,City of Brookhaven,Brookhaven,MS,(blank)
559,0,set(),0,0,BROOKHAVENGA.GOV,BROOKHAVENGA.GOV,City,Non-Federal Agency,City of Brookhaven,Brookhaven,GA,(blank)
560,0,set(),0,0,BROOKHAVENNY.GOV,BROOKHAVENNY.GOV,City,Non-Federal Agency,Town of Brookhaven,Farmingville,NY,(blank)
561,0,set(),0,0,BROOKINGSCOUNTYSD.GOV,BROOKINGSCOUNTYSD.GOV,County,Non-Federal Agency,Brookings County,Brookings,SD,(blank)
562,0,set(),0,0,BROOKLINEMA.GOV,BROOKLINEMA.GOV,City,Non-Federal Agency,Town of Brookline,Brookline,MA,bvivante@brooklinema.gov
563,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,BROOKLYNOHIO.GOV,BROOKLYNOHIO.GOV,City,Non-Federal Agency,City of Brooklyn,Brooklyn,OH,bailey@brooklynohio.gov
564,0,set(),0,0,BROOKLYNWI.GOV,BROOKLYNWI.GOV,City,Non-Federal Agency,Village of Brooklyn,Brooklyn,WI,(blank)
